id,target
60000,0.9999560131213824
60001,6.705711423904976e-11
60002,2.235126825229069e-09
60003,3.5075875187254005e-13
60004,7.472938509244869e-09
60005,2.0105023946488428e-07
60006,1.1383710376670594e-11
60007,5.784833157511526e-10
60008,2.9943442243297988e-09
60009,0.0001732277962620657
60010,1.586555172888688e-10
60011,1.4422925722257972e-11
60012,0.00025421334646106246
60013,3.7448058189196835e-11
60014,3.5240130690463115e-10
60015,1.3303148238059952e-10
60016,6.560669596914246e-09
60017,3.844922907734056e-10
60018,1.677051774043303e-09
60019,3.836500221437927e-10
60020,0.0002715378688380204
60021,1.7866561680904762e-10
60022,0.9998249883549343
60023,4.861966121331934e-11
60024,1.7016932060489578e-07
60025,9.994536143875325e-10
60026,9.151713842393246e-12
60027,9.667444381712981e-08
60028,0.9918220391907974
60029,6.33543921011048e-10
60030,5.105404200438475e-10
60031,1.9399834906891658e-10
60032,3.3685197845021027e-13
60033,3.2079994109643453e-10
60034,8.474611518904583e-11
60035,1.2893282281994183e-05
60036,1.8450640710280097e-12
60037,3.5458600605566325e-10
60038,5.4532104169183235e-11
60039,1.2679954929341667e-11
60040,1.8134191198919211e-06
60041,0.9999940993732012
60042,2.4375470822844627e-09
60043,0.08981442997825245
60044,7.519461770476302e-09
60045,2.18865076044401e-12
60046,9.318960053204576e-12
60047,5.040132994277869e-10
60048,1.5969906810442206e-05
60049,1.4179483121757493e-10
60050,1.9594700739973477e-11
60051,0.02884487291212395
60052,6.825096201811977e-09
60053,5.414003898019874e-12
60054,0.0013635861575764712
60055,2.7853226191787967e-10
60056,0.9995304404158845
60057,1.2340791177632875e-12
60058,0.9913999413872057
60059,5.7988299343180145e-12
60060,0.864418324265866
60061,5.31697139429906e-13
60062,2.0129572593058977e-11
60063,5.005967987361262e-12
60064,9.55354577157996e-10
60065,0.9998947710794523
60066,2.0144190527738097e-08
60067,0.0017556839747684548
60068,0.026064029593835396
60069,3.612802292600124e-11
60070,7.028181761796876e-13
60071,6.097279795318848e-09
60072,9.649364372396876e-12
